Drug1,Drug2,cell,drug1_db,drug2_db,synergy
TRETINOIN,TOPOTECAN HYDROCHLORIDE,HS578T,DB00755,DB01030,-6.14
CYTARABINE HYDROCHLORIDE,SORAFENIB,SKMEL2,DB00987,DB00398,-2.01
TAMOXIFEN CITRATE,MERCAPTOPURINE,MDAMB468,DB00675,DB01033,-0.04
TOPOTECAN HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,RPMI8226,DB01030,DB00530,4.95
AMIFOSTINE,ERLOTINIB HYDROCHLORIDE,HS578T,DB01143,DB00530,2.94
SUNITINIB,HYDROXYUREA,NCIH460,DB01268,DB01005,-0.44
BLEOMYCIN,FULVESTRANT,HCT116,DB00290,DB00947,-12.82
CYTARABINE HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,K562,DB00987,DB00530,2.5
DASATINIB,IMIQUIMOD,NCIH23,DB01254,DB00724,-5.21
CELECOXIB,ERLOTINIB HYDROCHLORIDE,SKMEL5,DB00482,DB00530,1.08
CELECOXIB,PACLITAXEL,MDAMB231,DB00482,DB01229,8.56
NILOTINIB,ALLOPURINOL,KM12,DB04868,DB00437,6.74
CELECOXIB,IXABEPILONE,HCT15,DB00482,DB04845,0.96
METHOTREXATE,ARSENIC TRIOXIDE,SKMEL5,DB00563,DB01169,-3.21
RALOXIFENE,DEXRAZOXANE,MDAMB468,DB00481,DB00380,-7.01
BLEOMYCIN,ERLOTINIB HYDROCHLORIDE,HS578T,DB00290,DB00530,-1.58
QUINACRINE HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE,SKOV3,DB01103,DB01030,-3.99
LAPATINIB,ARSENIC TRIOXIDE,RPMI8226,DB01259,DB01169,1.03
FULVESTRANT,BORTEZOMIB,BT549,DB00947,DB00188,4.48
DAUNORUBICIN HYDROCHLORIDE,BLEOMYCIN,KM12,DB00694,DB00290,-12.84
SORAFENIB,TOPOTECAN HYDROCHLORIDE,NCIH460,DB00398,DB01030,-7.11
TRETINOIN,SORAFENIB,MCF7,DB00755,DB00398,-0.15
MITOXANTRONE,BLEOMYCIN,SF295,DB01204,DB00290,0.24
RALOXIFENE,DASATINIB,HL60,DB00481,DB01254,10.28
SUNITINIB,ALLOPURINOL,BT549,DB01268,DB00437,0.92
PRALATREXATE,QUINACRINE HYDROCHLORIDE,SW620,DB06813,DB01103,-5.78
RALOXIFENE,LENALIDOMIDE,SW620,DB00481,DB00480,0.55
FULVESTRANT,METHOXSALEN,NCIH460,DB00947,DB00553,0.52
CYTARABINE HYDROCHLORIDE,ARSENIC TRIOXIDE,MOLT4,DB00987,DB01169,3.16
TAMOXIFEN CITRATE,PRALATREXATE,OVCAR8,DB00675,DB06813,1.43
CARMUSTINE,ARSENIC TRIOXIDE,SKOV3,DB00262,DB01169,-2.24
ANASTROZOLE,PRALATREXATE,NCIH226,DB01217,DB06813,3.33
TRETINOIN,MERCAPTOPURINE,HL60,DB00755,DB01033,-4.83
IXABEPILONE,ARSENIC TRIOXIDE,ACHN,DB04845,DB01169,-2.45
LETROZOLE,PACLITAXEL,ACHN,DB01006,DB01229,1.65
CELECOXIB,ZOLEDRONIC ACID,COLO205,DB00482,DB00399,3.1
HYDROXYUREA,ARSENIC TRIOXIDE,MDAMB231,DB01005,DB01169,-2.25
IMATINIB,AZACYTIDINE,MDAMB468,DB00619,DB00928,-1.01
PACLITAXEL,CARMUSTINE,SKMEL28,DB01229,DB00262,-5.62
IMATINIB,SORAFENIB,NCIH226,DB00619,DB00398,1.05
MERCAPTOPURINE,TOPOTECAN HYDROCHLORIDE,T47D,DB01033,DB01030,-5.03
LENALIDOMIDE,METHOTREXATE,IGROV1,DB00480,DB00563,-3.56
TAMOXIFEN CITRATE,PACLITAXEL,A549,DB00675,DB01229,16.06
AZACYTIDINE,AMIFOSTINE,MDAMB231,DB00928,DB01143,-4.87
ANASTROZOLE,AZACYTIDINE,OVCAR8,DB01217,DB00928,-4.77
FLUDARABINE BASE,TAMOXIFEN CITRATE,T47D,DB01073,DB00675,2.39
BLEOMYCIN,CARMUSTINE,UACC257,DB00290,DB00262,-3.4
SUNITINIB,SORAFENIB,SKMEL28,DB01268,DB00398,-3.35
DOCETAXEL,HYDROXYUREA,HCT116,DB01248,DB01005,5.95
LETROZOLE,AZACYTIDINE,MDAMB468,DB01006,DB00928,2.95
SUNITINIB,HYDROXYUREA,MDAMB468,DB01268,DB01005,2.66
CELECOXIB,ERLOTINIB HYDROCHLORIDE,OVCAR8,DB00482,DB00530,-2.33
IMATINIB,SUNITINIB,SW620,DB00619,DB01268,2.71
CYTARABINE HYDROCHLORIDE,NILOTINIB,HCT116,DB00987,DB04868,-1.06
TRETINOIN,ERLOTINIB HYDROCHLORIDE,IGROV1,DB00755,DB00530,3.18
DACARBAZINE,METHOTREXATE,SKMEL2,DB00851,DB00563,-0.29
RALOXIFENE,TRETINOIN,NCIH522,DB00481,DB00755,-1.43
LAPATINIB,SUNITINIB,RPMI8226,DB01259,DB01268,-0.04
FLUDARABINE BASE,IXABEPILONE,SF295,DB01073,DB04845,1.21
CYTARABINE HYDROCHLORIDE,HYDROXYUREA,UACC62,DB00987,DB01005,-4.14
IMATINIB,BORTEZOMIB,NCIH322,DB00619,DB00188,-7.93
IMIQUIMOD,TOPOTECAN HYDROCHLORIDE,SW620,DB00724,DB01030,-0.69
SORAFENIB,IXABEPILONE,SW620,DB00398,DB04845,6.79
DOCETAXEL,THALIDOMIDE,HT29,DB01248,DB01041,0.31
LENALIDOMIDE,BLEOMYCIN,786O,DB00480,DB00290,-5.61
SORAFENIB,MERCAPTOPURINE,786O,DB00398,DB01033,-0.45
ZOLEDRONIC ACID,BORTEZOMIB,OVCAR8,DB00399,DB00188,-0.71
TRETINOIN,ZOLEDRONIC ACID,OVCAR4,DB00755,DB00399,-1.34
FLUDARABINE BASE,MITOTANE,SKMEL28,DB01073,DB00648,-2.61
ANASTROZOLE,ERLOTINIB HYDROCHLORIDE,MDAMB468,DB01217,DB00530,1.93
TAMOXIFEN CITRATE,IXABEPILONE,A498,DB00675,DB04845,3.11
ZOLEDRONIC ACID,ERLOTINIB HYDROCHLORIDE,MCF7,DB00399,DB00530,3.08
CYTARABINE HYDROCHLORIDE,TRETINOIN,HT29,DB00987,DB00755,-5.11
CELECOXIB,PRALATREXATE,NCIH23,DB00482,DB06813,2.15
CYTARABINE HYDROCHLORIDE,IMATINIB,NCIH322,DB00987,DB00619,-0.89
IMATINIB,ALLOPURINOL,HL60,DB00619,DB00437,5.31
DASATINIB,ARSENIC TRIOXIDE,SKMEL2,DB01254,DB01169,-1.2
LOMUSTINE,BLEOMYCIN,U251MG,DB01206,DB00290,-10.14
DOCETAXEL,THALIDOMIDE,MDAMB468,DB01248,DB01041,5.48
RALOXIFENE,AMIFOSTINE,PC3,DB00481,DB01143,-0.28
TAMOXIFEN CITRATE,THALIDOMIDE,MDAMB468,DB00675,DB01041,-0.85
TRETINOIN,THALIDOMIDE,CAKI1,DB00755,DB01041,0.44
FLUDARABINE BASE,TRETINOIN,SW620,DB01073,DB00755,3.01
CELECOXIB,ANASTROZOLE,IGROV1,DB00482,DB01217,1.65
QUINACRINE HYDROCHLORIDE,THALIDOMIDE,OVCAR8,DB01103,DB01041,-1.1
RALOXIFENE,VEMURAFENIB,SKOV3,DB00481,DB08881,1.755
SORAFENIB,TOPOTECAN HYDROCHLORIDE,SKMEL28,DB00398,DB01030,-2.27
ZOLEDRONIC ACID,METHOTREXATE,DU145,DB00399,DB00563,3.43
ANASTROZOLE,ALLOPURINOL,MOLT4,DB01217,DB00437,-4.28
METHOXSALEN,IXABEPILONE,ACHN,DB00553,DB04845,3.83
5-FU,BLEOMYCIN,NCIH460,DB00544,DB00290,-0.97
QUINACRINE HYDROCHLORIDE,AMIFOSTINE,HT29,DB01103,DB01143,5.47
FLUDARABINE BASE,ANASTROZOLE,PC3,DB01073,DB01217,-3.16
IMATINIB,NILOTINIB,PC3,DB00619,DB04868,4.07
PRALATREXATE,AMIFOSTINE,HL60,DB06813,DB01143,4.73
MERCAPTOPURINE,ARSENIC TRIOXIDE,NCIH322,DB01033,DB01169,-2.72
AZACYTIDINE,IMIQUIMOD,NCIH460,DB00928,DB00724,0.48
FLUDARABINE BASE,BORTEZOMIB,K562,DB01073,DB00188,-7.81
TAMOXIFEN CITRATE,CARMUSTINE,MCF7,DB00675,DB00262,-4.08
HYDROXYUREA,ALLOPURINOL,MALME3M,DB01005,DB00437,-1.3
FLUDARABINE BASE,PRALATREXATE,U251MG,DB01073,DB06813,0.54
DASATINIB,METHOXSALEN,KM12,DB01254,DB00553,-3.72
TAMOXIFEN CITRATE,ANASTROZOLE,CAKI1,DB00675,DB01217,-0.28
LETROZOLE,NILOTINIB,HCT15,DB01006,DB04868,2.39
THALIDOMIDE,AMIFOSTINE,SKOV3,DB01041,DB01143,-1.71
PACLITAXEL,SUNITINIB,HL60,DB01229,DB01268,2.22
TRETINOIN,ANASTROZOLE,CAKI1,DB00755,DB01217,-2.5
LETROZOLE,BORTEZOMIB,SKOV3,DB01006,DB00188,4.56
HYDROXYUREA,AMIFOSTINE,NCIH322,DB01005,DB01143,1.56
LETROZOLE,HYDROXYUREA,OVCAR8,DB01006,DB01005,-0.29
TRETINOIN,ZOLEDRONIC ACID,KM12,DB00755,DB00399,1.43
MEGESTROL ACETATE,METHOTREXATE,UACC257,DB00351,DB00563,0.1
DASATINIB,CARMUSTINE,KM12,DB01254,DB00262,5.97
LETROZOLE,AZACYTIDINE,KM12,DB01006,DB00928,12.55
AZACYTIDINE,IMIQUIMOD,A549,DB00928,DB00724,4.4
FLUDARABINE BASE,ERLOTINIB HYDROCHLORIDE,SNB19,DB01073,DB00530,-1.13
ALLOPURINOL,IMIQUIMOD,SKOV3,DB00437,DB00724,-4.66
FLUDARABINE BASE,ANASTROZOLE,K562,DB01073,DB01217,12.34
CELECOXIB,ERLOTINIB HYDROCHLORIDE,HL60,DB00482,DB00530,0.04
GEFITINIB,AMIFOSTINE,SW620,DB00317,DB01143,-1.54
FULVESTRANT,IMIQUIMOD,U251MG,DB00947,DB00724,1.73
METHOTREXATE,ALLOPURINOL,HCT15,DB00563,DB00437,3.87
LETROZOLE,CYTARABINE HYDROCHLORIDE,T47D,DB01006,DB00987,-4.77
CYTARABINE HYDROCHLORIDE,IMATINIB,OVCAR8,DB00987,DB00619,0.51
NILOTINIB,ERLOTINIB HYDROCHLORIDE,HCT116,DB04868,DB00530,3.38
IMATINIB,PRALATREXATE,MALME3M,DB00619,DB06813,-3.87
ANASTROZOLE,DOCETAXEL,SKMEL5,DB01217,DB01248,4.21
MERCAPTOPURINE,METHOXSALEN,BT549,DB01033,DB00553,-9.99
CYTARABINE HYDROCHLORIDE,MERCAPTOPURINE,DU145,DB00987,DB01033,14.66
LAPATINIB,ARSENIC TRIOXIDE,MALME3M,DB01259,DB01169,-3.46
SORAFENIB,ANASTROZOLE,U251MG,DB00398,DB01217,-0.8
SUNITINIB,HYDROXYUREA,SKMEL28,DB01268,DB01005,0.6
DOCETAXEL,IMIQUIMOD,HCT15,DB01248,DB00724,0.5
PACLITAXEL,MERCAPTOPURINE,MOLT4,DB01229,DB01033,-1.4
RALOXIFENE,TAMOXIFEN CITRATE,SW620,DB00481,DB00675,4.09
FLUDARABINE BASE,AMIFOSTINE,UACC62,DB01073,DB01143,2.01
FULVESTRANT,METHOTREXATE,SKMEL28,DB00947,DB00563,-9.48
SUNITINIB,ALLOPURINOL,RPMI8226,DB01268,DB00437,-6.09
LAPATINIB,HYDROXYUREA,PC3,DB01259,DB01005,-0.19
DEXRAZOXANE,AMIFOSTINE,HT29,DB00380,DB01143,2.35
FLUDARABINE BASE,IMIQUIMOD,SNB19,DB01073,DB00724,-6.56
TAMOXIFEN CITRATE,QUINACRINE HYDROCHLORIDE,NCIH460,DB00675,DB01103,-1.51
CELECOXIB,HYDROXYUREA,U251MG,DB00482,DB01005,-0.21
SUNITINIB,THALIDOMIDE,NCIH522,DB01268,DB01041,5.23
DASATINIB,MITOTANE,BT549,DB01254,DB00648,3.9
IMIQUIMOD,AMIFOSTINE,SKMEL28,DB00724,DB01143,-1.38
ALLOPURINOL,IMIQUIMOD,HT29,DB00437,DB00724,-0.06
RALOXIFENE,PAZOPANIB HYDROCHLORIDE,SNB19,DB00481,DB06589,1.54
FLUDARABINE BASE,DASATINIB,SNB19,DB01073,DB01254,-2.07
CYTARABINE HYDROCHLORIDE,MERCAPTOPURINE,OVCAR4,DB00987,DB01033,-1.37
TENIPOSIDE,METHOTREXATE,IGROV1,DB00444,DB00563,-10.15
METHOTREXATE,ARSENIC TRIOXIDE,MOLT4,DB00563,DB01169,-0.87
FULVESTRANT,CARMUSTINE,A549,DB00947,DB00262,-1.37
CYTARABINE HYDROCHLORIDE,MERCAPTOPURINE,NCIH522,DB00987,DB01033,-5.39
IMATINIB,MITOTANE,IGROV1,DB00619,DB00648,0.14
MITOXANTRONE,DASATINIB,NCIH522,DB01204,DB01254,-1.96
RALOXIFENE,GEFITINIB,MDAMB468,DB00481,DB00317,4.36
FLUDARABINE BASE,HYDROXYUREA,OVCAR4,DB01073,DB01005,-0.46
HYDROXYUREA,THALIDOMIDE,MDAMB231,DB01005,DB01041,0.92
FULVESTRANT,ANASTROZOLE,COLO205,DB00947,DB01217,-4.15
SUNITINIB,HYDROXYUREA,RPMI8226,DB01268,DB01005,5.06
IMATINIB,IMIQUIMOD,SKMEL28,DB00619,DB00724,0.98
MERCAPTOPURINE,QUINACRINE HYDROCHLORIDE,PC3,DB01033,DB01103,-6.35
BLEOMYCIN,METHOTREXATE,DU145,DB00290,DB00563,-1.45
TAMOXIFEN CITRATE,MERCAPTOPURINE,A498,DB00675,DB01033,-6.65
DASATINIB,BORTEZOMIB,UACC257,DB01254,DB00188,0.56
TRETINOIN,METHOXSALEN,UACC257,DB00755,DB00553,-3.18
BLEOMYCIN,ALLOPURINOL,NCIH460,DB00290,DB00437,0.06
AZACYTIDINE,SORAFENIB,NCIH322,DB00928,DB00398,-4.46
LETROZOLE,ALLOPURINOL,DU145,DB01006,DB00437,4.48
NILOTINIB,TOPOTECAN HYDROCHLORIDE,NCIH23,DB04868,DB01030,-8.66
CELECOXIB,AMIFOSTINE,MOLT4,DB00482,DB01143,-0.95
LETROZOLE,METHOTREXATE,MOLT4,DB01006,DB00563,11.27
RALOXIFENE,CARMUSTINE,MDAMB468,DB00481,DB00262,4.86
METHOXSALEN,TOPOTECAN HYDROCHLORIDE,ACHN,DB00553,DB01030,-17.76
RALOXIFENE,PRALATREXATE,SW620,DB00481,DB06813,-0.19
RALOXIFENE,LOMUSTINE,NCIH460,DB00481,DB01206,-4.11
BLEOMYCIN,CARMUSTINE,SKMEL28,DB00290,DB00262,-2.27
METHOTREXATE,TAMOXIFEN CITRATE,U251MG,DB00563,DB00675,7.73
SORAFENIB,AMIFOSTINE,SW620,DB00398,DB01143,7.92
LETROZOLE,TRETINOIN,MOLT4,DB01006,DB00755,-0.82
GEFITINIB,BLEOMYCIN,MCF7,DB00317,DB00290,-2.5
DOCETAXEL,QUINACRINE HYDROCHLORIDE,NCIH522,DB01248,DB01103,-8.4
ALLOPURINOL,QUINACRINE HYDROCHLORIDE,HL60,DB00437,DB01103,-1.9
IMATINIB,NILOTINIB,RPMI8226,DB00619,DB04868,-1.3
TRETINOIN,ARSENIC TRIOXIDE,BT549,DB00755,DB01169,3.96
BLEOMYCIN,PRALATREXATE,U251MG,DB00290,DB06813,0.88
NILOTINIB,IMIQUIMOD,BT549,DB04868,DB00724,2.75
RALOXIFENE,HYDROXYUREA,NCIH460,DB00481,DB01005,-6.33
RALOXIFENE,CYTARABINE HYDROCHLORIDE,LOXIMVI,DB00481,DB00987,-7.5
LAPATINIB,BORTEZOMIB,ACHN,DB01259,DB00188,-0.67
LAPATINIB,ZOLEDRONIC ACID,DU145,DB01259,DB00399,-1.78
PRALATREXATE,CARMUSTINE,K562,DB06813,DB00262,-8.93
RALOXIFENE,DASATINIB,PC3,DB00481,DB01254,-1.16
PACLITAXEL,DASATINIB,K562,DB01229,DB01254,12.02
NILOTINIB,QUINACRINE HYDROCHLORIDE,NCIH23,DB04868,DB01103,-8.86
DEXRAZOXANE,METHOTREXATE,MALME3M,DB00380,DB00563,-4.38
ZOLEDRONIC ACID,ALLOPURINOL,MALME3M,DB00399,DB00437,-2.78
ALLOPURINOL,BORTEZOMIB,SF295,DB00437,DB00188,0.78
RALOXIFENE,LETROZOLE,786O,DB00481,DB01006,-3.39
MITOTANE,THALIDOMIDE,OVCAR8,DB00648,DB01041,-2.22
IMIQUIMOD,CARMUSTINE,BT549,DB00724,DB00262,-3.03
METHOTREXATE,CARMUSTINE,MDAMB231,DB00563,DB00262,-5.3
TRETINOIN,METHOXSALEN,PC3,DB00755,DB00553,2.97
DASATINIB,LAPATINIB,MDAMB231,DB01254,DB01259,3.86
CELECOXIB,DASATINIB,T47D,DB00482,DB01254,2.54
LETROZOLE,ZOLEDRONIC ACID,SNB19,DB01006,DB00399,-1.53
TAMOXIFEN CITRATE,THALIDOMIDE,LOXIMVI,DB00675,DB01041,-2.26
NILOTINIB,SUNITINIB,KM12,DB04868,DB01268,-1.4
BLEOMYCIN,ANASTROZOLE,T47D,DB00290,DB01217,-2.4
HYDROXYUREA,ALLOPURINOL,U251MG,DB01005,DB00437,1.48
FLUDARABINE BASE,BORTEZOMIB,CAKI1,DB01073,DB00188,-1.85
FLUDARABINE BASE,TAMOXIFEN CITRATE,U251MG,DB01073,DB00675,13.11
TAMOXIFEN CITRATE,MERCAPTOPURINE,SKMEL2,DB00675,DB01033,9.39
PACLITAXEL,MERCAPTOPURINE,OVCAR8,DB01229,DB01033,-11.94
HYDROXYUREA,NILOTINIB,HL60,DB01005,DB04868,-8.22
CYTARABINE HYDROCHLORIDE,QUINACRINE HYDROCHLORIDE,MALME3M,DB00987,DB01103,-9.81
LENALIDOMIDE,DASATINIB,BT549,DB00480,DB01254,-5.83
NILOTINIB,ARSENIC TRIOXIDE,HL60,DB04868,DB01169,-0.16
PACLITAXEL,DASATINIB,NCIH322,DB01229,DB01254,0.01
AZACYTIDINE,DASATINIB,ACHN,DB00928,DB01254,-9.36
DASATINIB,METHOXSALEN,NCIH226,DB01254,DB00553,4.24
ZOLEDRONIC ACID,ARSENIC TRIOXIDE,A498,DB00399,DB01169,-2.48
TOPOTECAN HYDROCHLORIDE,IXABEPILONE,DU145,DB01030,DB04845,1.09
ZOLEDRONIC ACID,ERLOTINIB HYDROCHLORIDE,T47D,DB00399,DB00530,-0.68
AZACYTIDINE,MERCAPTOPURINE,NCIH23,DB00928,DB01033,-1.16
DASATINIB,FULVESTRANT,SW620,DB01254,DB00947,-2.62
PACLITAXEL,ERLOTINIB HYDROCHLORIDE,SKMEL5,DB01229,DB00530,-1.79
BLEOMYCIN,ERLOTINIB HYDROCHLORIDE,UACC257,DB00290,DB00530,-1.79
AZACYTIDINE,HYDROXYUREA,IGROV1,DB00928,DB01005,-4.96
THALIDOMIDE,CARMUSTINE,U251MG,DB01041,DB00262,-1.01
LETROZOLE,QUINACRINE HYDROCHLORIDE,DU145,DB01006,DB01103,-4.81
DOCETAXEL,BORTEZOMIB,IGROV1,DB01248,DB00188,-6.08
RALOXIFENE,LAPATINIB,SNB19,DB00481,DB01259,1.88
LAPATINIB,SORAFENIB,BT549,DB01259,DB00398,-0.21
METHOTREXATE,IMATINIB,OVCAR4,DB00563,DB00619,-2.18
DASATINIB,ZOLEDRONIC ACID,T47D,DB01254,DB00399,0.89
BLEOMYCIN,ALLOPURINOL,NCIH322,DB00290,DB00437,-2.92
HYDROXYUREA,CARMUSTINE,UACC257,DB01005,DB00262,-2.55
SUNITINIB,THALIDOMIDE,MCF7,DB01268,DB01041,-0.58
ANASTROZOLE,THALIDOMIDE,UACC62,DB01217,DB01041,0.7
NILOTINIB,QUINACRINE HYDROCHLORIDE,UACC62,DB04868,DB01103,-3.27
TAMOXIFEN CITRATE,AZACYTIDINE,SKOV3,DB00675,DB00928,-1.85
BLEOMYCIN,ANASTROZOLE,UACC62,DB00290,DB01217,-4.93
MERCAPTOPURINE,NILOTINIB,MOLT4,DB01033,DB04868,3.82
AZACYTIDINE,METHOXSALEN,NCIH522,DB00928,DB00553,-7.7
TAMOXIFEN CITRATE,AMIFOSTINE,A549,DB00675,DB01143,-2.52
ANASTROZOLE,IXABEPILONE,OVCAR8,DB01217,DB04845,0.93
HYDROXYUREA,METHOXSALEN,NCIH226,DB01005,DB00553,5.11
AZACYTIDINE,CARMUSTINE,LOXIMVI,DB00928,DB00262,-7.71
LETROZOLE,TOPOTECAN HYDROCHLORIDE,MALME3M,DB01006,DB01030,-2.37
IMATINIB,ARSENIC TRIOXIDE,NCIH460,DB00619,DB01169,0.19
RALOXIFENE,IMATINIB,HCT116,DB00481,DB00619,3.38
CYTARABINE HYDROCHLORIDE,IMIQUIMOD,SF295,DB00987,DB00724,-5.92
PACLITAXEL,ALLOPURINOL,NCIH460,DB01229,DB00437,-5.46
PRALATREXATE,MERCAPTOPURINE,HCT116,DB06813,DB01033,0.05
RALOXIFENE,CARMUSTINE,HCT15,DB00481,DB00262,-1.35
TRETINOIN,IMIQUIMOD,SNB19,DB00755,DB00724,-2.28
RALOXIFENE,MERCAPTOPURINE,BT549,DB00481,DB01033,4.21
TRETINOIN,IXABEPILONE,UACC257,DB00755,DB04845,5.07
DOCETAXEL,ZOLEDRONIC ACID,T47D,DB01248,DB00399,1.77
AZACYTIDINE,FULVESTRANT,SNB19,DB00928,DB00947,-0.84
SORAFENIB,ALLOPURINOL,KM12,DB00398,DB00437,-2.82
PACLITAXEL,AZACYTIDINE,786O,DB01229,DB00928,-8.07
LENALIDOMIDE,PACLITAXEL,T47D,DB00480,DB01229,-7.32
SORAFENIB,AMIFOSTINE,HCT116,DB00398,DB01143,-1.26
RALOXIFENE,5-FU,OVCAR8,DB00481,DB00544,0.82
CYTARABINE HYDROCHLORIDE,PRALATREXATE,HL60,DB00987,DB06813,3.3
ANASTROZOLE,ALLOPURINOL,DU145,DB01217,DB00437,-2.19
IMATINIB,AZACYTIDINE,CAKI1,DB00619,DB00928,-8.96
CELECOXIB,QUINACRINE HYDROCHLORIDE,A498,DB00482,DB01103,-2.05
DOCETAXEL,AZACYTIDINE,HCT15,DB01248,DB00928,-6.44
NILOTINIB,THALIDOMIDE,BT549,DB04868,DB01041,-4.03
SUNITINIB,ANASTROZOLE,SKMEL28,DB01268,DB01217,-3.9
METHOTREXATE,ERLOTINIB HYDROCHLORIDE,K562,DB00563,DB00530,1.54
QUINACRINE HYDROCHLORIDE,CARMUSTINE,T47D,DB01103,DB00262,-3.01
LETROZOLE,CELECOXIB,OVCAR8,DB01006,DB00482,-0.95
LOMUSTINE,METHOTREXATE,LOXIMVI,DB01206,DB00563,-5.17
LENALIDOMIDE,AMIFOSTINE,NCIH322,DB00480,DB01143,-4.13
FULVESTRANT,TOPOTECAN HYDROCHLORIDE,IGROV1,DB00947,DB01030,-5.81
RALOXIFENE,ABIRATERONE,NCIH522,DB00481,DB05812,-0.49
FLUDARABINE BASE,ZOLEDRONIC ACID,IGROV1,DB01073,DB00399,-1.36
AMIFOSTINE,BORTEZOMIB,ACHN,DB01143,DB00188,0.84
DEXRAZOXANE,DASATINIB,BT549,DB00380,DB01254,-6.2
TAMOXIFEN CITRATE,LAPATINIB,MDAMB468,DB00675,DB01259,-2.9
HYDROXYUREA,QUINACRINE HYDROCHLORIDE,NCIH322,DB01005,DB01103,0.31
MEGESTROL ACETATE,AMIFOSTINE,OVCAR4,DB00351,DB01143,-0.79
DASATINIB,HYDROXYUREA,A549,DB01254,DB01005,-9.91
DASATINIB,METHOTREXATE,U251MG,DB01254,DB00563,6.53
PEMETREXED,METHOTREXATE,NCIH460,DB00642,DB00563,-9.31
RALOXIFENE,CABAZITAXEL,KM12,DB00481,DB06772,11.58
PACLITAXEL,BLEOMYCIN,U251MG,DB01229,DB00290,0.56
ZOLEDRONIC ACID,METHOTREXATE,CAKI1,DB00399,DB00563,-1.1
DACARBAZINE,METHOTREXATE,MOLT4,DB00851,DB00563,-2.47
RALOXIFENE,PAZOPANIB HYDROCHLORIDE,BT549,DB00481,DB06589,6.97
LENALIDOMIDE,AMIFOSTINE,COLO205,DB00480,DB01143,-0.5
MITOTANE,ALLOPURINOL,786O,DB00648,DB00437,1.17
QUINACRINE HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,SKMEL5,DB01103,DB00530,1.14
BLEOMYCIN,BORTEZOMIB,MALME3M,DB00290,DB00188,-3.71
HYDROXYUREA,AMIFOSTINE,BT549,DB01005,DB01143,-5.95
PRALATREXATE,IXABEPILONE,IGROV1,DB06813,DB04845,2.37
THALIDOMIDE,IXABEPILONE,U251MG,DB01041,DB04845,6.06
BLEOMYCIN,MERCAPTOPURINE,OVCAR8,DB00290,DB01033,-6.93
BLEOMYCIN,MITOTANE,NCIH460,DB00290,DB00648,17.8
FLUDARABINE BASE,MITOTANE,HT29,DB01073,DB00648,1.2
TOPOTECAN HYDROCHLORIDE,ARSENIC TRIOXIDE,SKMEL2,DB01030,DB01169,0.26
PACLITAXEL,HYDROXYUREA,BT549,DB01229,DB01005,-3.7
HYDROXYUREA,IXABEPILONE,HT29,DB01005,DB04845,2.1
DOCETAXEL,TOPOTECAN HYDROCHLORIDE,MCF7,DB01248,DB01030,-1.15
DACARBAZINE,DASATINIB,OVCAR4,DB00851,DB01254,-1.59
CELECOXIB,ANASTROZOLE,KM12,DB00482,DB01217,2.71
FLUDARABINE BASE,ZOLEDRONIC ACID,KM12,DB01073,DB00399,0.96
ALLOPURINOL,IXABEPILONE,NCIH522,DB00437,DB04845,2.25
QUINACRINE HYDROCHLORIDE,IMIQUIMOD,SF295,DB01103,DB00724,-3.46
CYTARABINE HYDROCHLORIDE,TAMOXIFEN CITRATE,PC3,DB00987,DB00675,-3.67
IMIQUIMOD,TOPOTECAN HYDROCHLORIDE,MCF7,DB00724,DB01030,-8.06
AZACYTIDINE,SORAFENIB,SKOV3,DB00928,DB00398,-5.74
IMATINIB,BORTEZOMIB,NCIH23,DB00619,DB00188,0.44
AZACYTIDINE,QUINACRINE HYDROCHLORIDE,NCIH226,DB00928,DB01103,-8.4
RALOXIFENE,LAPATINIB,A498,DB00481,DB01259,-0.25
CELECOXIB,ALLOPURINOL,IGROV1,DB00482,DB00437,-1.3
CELECOXIB,DOCETAXEL,MDAMB468,DB00482,DB01248,7.66
IMATINIB,ALLOPURINOL,HS578T,DB00619,DB00437,-2.57
PEMETREXED,METHOTREXATE,SF295,DB00642,DB00563,-8.6
NILOTINIB,CARMUSTINE,SW620,DB04868,DB00262,0.97
METHOTREXATE,FLUDARABINE BASE,U251MG,DB00563,DB01073,-2.74
RALOXIFENE,QUINACRINE HYDROCHLORIDE,A549,DB00481,DB01103,2.46
CYTARABINE HYDROCHLORIDE,SORAFENIB,786O,DB00987,DB00398,0.37
AZACYTIDINE,IXABEPILONE,LOXIMVI,DB00928,DB04845,-2.71
RALOXIFENE,LETROZOLE,NCIH460,DB00481,DB01006,7.71
SORAFENIB,TOPOTECAN HYDROCHLORIDE,HT29,DB00398,DB01030,-11.88
MITOTANE,FULVESTRANT,KM12,DB00648,DB00947,-2.27
METHOXSALEN,ARSENIC TRIOXIDE,MCF7,DB00553,DB01169,-4.51
DASATINIB,ZOLEDRONIC ACID,NCIH522,DB01254,DB00399,-7.16
CELECOXIB,QUINACRINE HYDROCHLORIDE,UACC257,DB00482,DB01103,1.47
CYTARABINE HYDROCHLORIDE,THALIDOMIDE,OVCAR4,DB00987,DB01041,-0.06
TRETINOIN,ARSENIC TRIOXIDE,NCIH522,DB00755,DB01169,2.02
